numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort,isAttack
17,36,62,29,0,6,56,42,55,13,15,35,14,1,28,TRUE
1,0,99,0,0,0,47,58,46,1,1,0,0,0,23,FALSE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
2,20,80,8,0,22,89,85,88,4,2,20,2,0,85,TRUE
9,39,56,24,0,0,47,51,46,26,4,38,5,15,34,TRUE
0,46,54,37,0,0,45,53,44,27,0,45,0,3,32,TRUE
5,84,15,0,0,11,98,88,97,1,3,84,3,0,88,TRUE
2,1,98,3,0,0,38,60,37,1,2,0,0,11,17,FALSE
31,17,70,5,0,3,46,57,40,21,18,16,16,1,37,TRUE
0,0,100,3,0,0,33,65,32,1,0,0,0,1,65,FALSE
5,0,95,25,0,0,81,19,80,1,5,0,0,1,19,FALSE
0,2,98,29,0,12,58,58,39,20,0,2,0,1,58,TRUE
3,0,97,16,0,0,62,36,60,2,3,0,0,1,18,FALSE
1,0,99,13,0,0,45,53,44,1,1,0,0,27,4,FALSE
22,9,80,21,0,7,60,60,37,20,11,9,11,1,38,TRUE
54,6,77,8,0,1,45,53,44,17,36,6,34,5,34,TRUE
0,0,100,2,0,0,32,66,31,1,0,0,0,1,66,FALSE
7,66,32,4,0,3,73,73,72,19,5,65,5,0,73,TRUE
0,0,100,1,0,0,51,69,50,1,0,0,0,1,69,FALSE
0,40,60,46,0,3,51,51,46,24,0,40,0,2,47,TRUE
0,63,37,30,0,0,62,62,61,19,0,62,0,1,62,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
0,0,100,5,0,0,37,61,36,1,0,0,0,3,61,FALSE
