numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
0,0,100,1,0,0,65,66,64,1,0,0,0,0,66
5,0,95,4,0,1,52,54,51,1,5,0,0,32,3
0,0,100,0,0,0,65,65,64,1,0,0,0,0,65
0,0,100,2,0,0,66,66,65,1,0,0,0,0,66
0,0,100,0,0,0,60,60,59,1,0,0,0,0,60
2,0,98,0,0,0,64,64,63,1,2,0,0,0,64
6,0,94,11,0,0,46,52,45,1,6,0,0,0,52
0,0,100,0,0,0,58,65,57,1,0,0,0,1,65
0,0,100,7,0,0,47,51,46,1,0,0,0,11,50
0,0,100,2,0,0,64,67,63,1,0,0,0,0,67
0,0,100,2,0,0,34,65,33,1,0,0,0,1,65
0,0,100,2,0,0,54,54,53,1,0,0,0,11,43
0,0,100,1,0,0,37,66,36,1,0,0,0,0,66
0,0,100,1,0,0,40,65,39,1,0,0,0,1,65
7,0,93,4,0,0,55,43,54,1,7,0,0,35,13
